"Broadcast type","Coverage","Date","Regions"
" Nintendo Direct","Nintendo 3DS and Wii games","October 21, 2011","Japan, North America"
" Nintendo Direct","Nintendo 3DS and Wii games","December 27, 2011","Japan"
" Nintendo Direct","Nintendo 3DS and Wii games","February 22, 2012","Japan, North America, Europe, Australia"
" Nintendo Direct","Nintendo 3DS and Super Mario 3D Land","April 14, 2012","South Korea"
" Nintendo Direct","Nintendo 3DS and Wii games","April 21, 2012","Japan, Europe, Australia"
" Nintendo Direct Pre E3 2012","Wii U built-in software","June 3, 2012","Japan, North America, Europe, Australia"
" Nintendo Direct","Nintendo 3DS XL revealNintendo 3DS and Wii games","June 21, 2012","Japan, North America, Europe, Australia"
" Nintendo Direct Mini","Brain Age: Concentration Training","July 18, 2012","Japan"
" Nintendo Direct","Dragon Quest X","July 30, 2012","Japan"

" Nintendo Direct
","Nintendo 3DS and Wii games
","August 29, 2012
","Japan
"

" Nintendo Direct Mini
","Brain Age: Concentration Training
","September 7, 2012
","Japan
"

" Wii U Direct
","Wii U games
","September 13, 2012
","Japan, North America, Europe, Australia
"

" Nintendo Direct Mini
","New Super Mario Bros. 2
","September 28, 2012
","Japan
"

" Nintendo Direct Mini
","New Super Mario Bros. 2
","October 2, 2012
","North America, Europe, Australia
"

" Nintendo Direct Mini
","Nintendo 3DS XL & Nintendo eShop
","October 3, 2012
","Japan
"

" Nintendo Direct
","Nintendo 3DS games
","October 4, 2012
","Europe, Australia
"

" Nintendo Direct
","Animal Crossing: New Leaf
","October 5, 2012
","Japan
"

" Nintendo Direct
","Nintendo 3DS games
","October 25, 2012
","Japan, North America
"

" Nintendo Direct
","Nintendo 3DS games
","October 31, 2012
","South Korea
"

" Wii U Direct
","Wii U, system apps and games
","November 7, 2012
","Japan, North America, Europe, Australia
"

" Wii U Direct
","Wii U interface and Miiverse
","November 14, 2012
","Japan, North America
"

" Nintendo Direct Mini
","New Super Mario Bros. 2
","November 27, 2012
","Japan, North America, Europe, Australia
"

" Nintendo Direct
","Wii U and Nintendo 3DS games
","December 5, 2012
","Japan, North America, Europe, Australia
"

" Wii U Direct
","Niconico
","December 6, 2012
","Japan
"

" Nintendo Direct Mini
","Dragon Quest X
","December 19, 2012
","Japan
"

" Pokթmon Direct
","Pokթmon X and Y
","January 8, 2013
","Japan, North America, Europe, Australia
"

" Wii U Direct
","Wii U games, Miiverse and Virtual Console
","January 23, 2013
","Japan, North America, Europe, Australia
"

" Nintendo Direct
","Animal Crossing: New Leaf
","January 24, 2013
","South Korea
"

" Nintendo Direct
","Animal Crossing: New Leaf
","February 1, 2013
","Japan
"

" Nintendo 3DS Direct
","Year of Luigi and Nintendo 3DS games
","February 14, 2013
","Japan, North America, Europe, Australia
"

" Nintendo 3DS Direct
","Nintendo 3DS games
","February 21, 2013
","Japan
"
" Nintendo Direct Mini
","Tomodachi Collection: New Life
","March 12, 2013
","Japan
"

" Nintendo Direct Mini
","Flipnote Studio 3D
","March 13, 2013
","Japan, North America, Europe, Australia
"

" Nintendo Direct Mini
","Nintendo 3DS games
","April 1, 2013
","Japan
"

" Nintendo Direct
","Tomodachi Collection: New Life
","April 3, 2013
","Japan
"

" Nintendo Direct
","Year of Luigi and Nintendo 3DS games
","April 17, 2013
","Japan, North America, Europe, Australia
"

"  Nintendo Direct[i]
","Wii U and Nintendo 3DS games
","May 17, 2013
","Japan, North America, Europe, Australia
"

"  Nintendo Direct
","Monster Hunter 4Phoenix Wright: Ace Attorney  Dual Destinies
","May 27, 2013
","Japan
"

" Nintendo Direct @ E3 2013
","Wii U and Nintendo 3DS games
","June 11, 2013
","Japan, North America, Europe, Australia, South Korea
"

" Nintendo Direct
","Pikmin 3
","June 26, 2013
","Japan
"

" Nintendo Direct Mini
","Nintendo 3DS and Wii U games
","July 3, 2013
","Japan
"

" Nintendo Direct Mini
","Nintendo 3DS and Wii U games
","July 18, 2013
","North America, Europe, Australia
"

" Nintendo Direct
","Wii U and Nintendo 3DS games
","August 7, 2013
","Japan, North America, Europe, Australia
"

" Nintendo Direct
","The Wonderful 101
","August 9, 2013
","Japan, North America, Europe, Australia
"

" Pokթmon Direct
","Pokթmon X and Y
","September 4, 2013
","Japan, North America, Europe, Australia
"

" Nintendo Direct
","Monster Hunter 4
","September 8, 2013
","Japan
"

" Nintendo Direct
","Wii Fit U
","September 18, 2013
","Japan, North America, Europe, Australia
"

" Nintendo Direct
","Wii U and Nintendo 3DS games
","October 1, 2013
","Japan, North America, Europe, Australia
"

" Nintendo Direct
","Pokթmon X and YMonster Hunter 4
","October 10, 2013
","South Korea
"

" Nintendo Direct Mini
","Daigasso! Band Brothers P
","October 29, 2013
","Japan
"

" Nintendo Direct
","Monster Hunter 4
","November 12, 2013
","South Korea
"

" Nintendo Direct
","Nintendo 3DS and Wii U games
","November 13, 2013
","North America, Europe, Australia
"

" Nintendo Direct Mini
","Nintendo 3DS and Wii U Download software
","November 14, 2013
","Japan
"

" Nintendo Direct
","Nintendo 3DS Guide: Louvre District
","November 27, 2013
","Japan, North America, Europe, Australia
"

" Nintendo Direct
","Wii U and Nintendo 3DS games
","December 18, 2013
","Japan, North America, Europe, Australia
"

" Nintendo Direct
","Nintendo 3DS games
","January 17, 2014
","South Korea
"

" Nintendo Direct
","Wii U and Nintendo 3DS games
","February 13, 2014
","Japan, North America, Europe, Australia
"

" Super Smash Bros. Direct
","Super Smash Bros. for Nintendo 3DS and Wii U
","April 8, 2014
","Japan, North America, Europe, Australia
"

" Nintendo Direct
","Tomodachi Life
","April 10, 2014
","North America, Europe, Australia
"
" Nintendo Direct
","Mario Kart 8
","April 30, 2014
","Japan, North America, Europe, Australia
"
" Nintendo Direct
","Tomodachi Life
","May 29, 2014
","South Korea
"
" Nintendo Digital Event @ E3 2014
","Wii U and Nintendo 3DS games
","June 10, 2014
","Japan, North America, Europe, Australia, South Korea
"
" Nintendo Direct
","Yo-kai Watch 2
","July 4, 2014
","Japan
"
" Nintendo 3DS Direct
","Nintendo 3DS games
","July 11, 2014
","Japan
"
" Nintendo Direct
","Hyrule Warriors
","August 4, 2014
","Japan, North America, Europe, Australia
"
" Nintendo 3DS Direct
","Nintendo 3DS games
","August 29, 2014
","Japan
"
" Nintendo Direct
","Bayonetta 2
","September 4, 2014
","Japan, North America, Europe, Australia
"
" Nintendo 3DS Direct
","Nintendo 3DS games
","September 24, 2014
","Australia
"
" Nintendo Direct
","Monster Hunter 4G
","October 8, 2014
","Japan
"
" Super Smash Bros. for Wii U 50-Fact Extravaganza
","Super Smash Bros. for Wii U
","October 23, 2014
","Japan, North America, Europe, Australia
"
"Nintendo Direct
","Wii U and Nintendo 3DS games
","November 5, 2014
","Japan, North America, Europe, Australia
"
" Nintendo Direct
","New Nintendo 3DS revealWii U and Nintendo 3DS games
","January 14, 2015
","Japan, North America, Europe, Australia
"
