"Broadcast type","Coverage","Date","Regions","Ref."
" Nintendo Direct","Nintendo 3DS and Wii games","October 21, 2011","Japan, North America","[17][18]"
" Nintendo Direct","Nintendo 3DS and Wii games","December 27, 2011","Japan","[19]"
" Nintendo Direct","Nintendo 3DS and Wii games","February 22, 2012","Japan, North America, Europe, Australia","[20][21][22]"
" Nintendo Direct","Nintendo 3DS and Super Mario 3D Land","April 14, 2012","South Korea","[23]"
" Nintendo Direct","Nintendo 3DS and Wii games","April 21, 2012","Japan, Europe, Australia","[24][25]"
" Nintendo Direct Pre E3 2012","Wii U built-in software","June 3, 2012","Japan, North America, Europe, Australia","[26]"
" Nintendo Direct","Nintendo 3DS XL revealNintendo 3DS and Wii games","June 21, 2012","Japan, North America, Europe, Australia","[27][28][29]"
" Nintendo Direct Mini","Brain Age: Concentration Training","July 18, 2012","Japan","[30][31]"
" Nintendo Direct","Dragon Quest X","July 30, 2012","Japan","[32][33]"
" Nintendo Direct","Nintendo 3DS and Wii games","August 29, 2012","Japan","[34][35]"
" Nintendo Direct Mini","Brain Age: Concentration Training","September 7, 2012","Japan","[36][37]"
" Wii U Direct","Wii U games","September 13, 2012","Japan, North America, Europe, Australia","[38][39][40]"
" Nintendo Direct Mini","New Super Mario Bros. 2","September 28, 2012","Japan","[41]"
" Nintendo Direct Mini","New Super Mario Bros. 2","October 2, 2012","North America, Europe, Australia","[42][43]"
" Nintendo Direct Mini","Nintendo 3DS XL & Nintendo eShop","October 3, 2012","Japan","[44][45]"
" Nintendo Direct","Nintendo 3DS games","October 4, 2012","Europe, Australia","[46]"
" Nintendo Direct","Animal Crossing: New Leaf","October 5, 2012","Japan","[47]"
" Nintendo Direct","Nintendo 3DS games","October 25, 2012","Japan, North America","[48]"
" Nintendo Direct","Nintendo 3DS games","October 31, 2012","South Korea","[49]"
" Wii U Direct","Wii U, system apps and games","November 7, 2012","Japan, North America, Europe, Australia","[50][51][52]"
" Wii U Direct","Wii U interface and Miiverse","November 14, 2012","Japan, North America","[53][54]"
" Nintendo Direct Mini","New Super Mario Bros. 2","November 27, 2012","Japan, North America, Europe, Australia","[55][56][57]"
" Nintendo Direct","Wii U and Nintendo 3DS games","December 5, 2012","Japan, North America, Europe, Australia","[58][59]"
" Wii U Direct","Niconico","December 6, 2012","Japan","[60]"
" Nintendo Direct Mini","Dragon Quest X","December 19, 2012","Japan","[61]"
" Pok̩mon Direct","Pok̩mon X and Y","January 8, 2013","Japan, North America, Europe, Australia","[62][63][64]"
" Wii U Direct","Wii U games, Miiverse and Virtual Console","January 23, 2013","Japan, North America, Europe, Australia","[65][66][67]"
" Nintendo Direct","Animal Crossing: New Leaf","January 24, 2013","South Korea","[68]"
" Nintendo Direct","Animal Crossing: New Leaf","February 1, 2013","Japan","[69]"
" Nintendo 3DS Direct","Year of Luigi and Nintendo 3DS games","February 14, 2013","Japan, North America, Europe, Australia","[70][71][72]"
" Nintendo 3DS Direct","Nintendo 3DS games","February 21, 2013","Japan","[73]"
" Nintendo Direct Mini","Tomodachi Collection: New Life","March 12, 2013","Japan","[74]"
" Nintendo Direct Mini","Flipnote Studio 3D","March 13, 2013","Japan, North America, Europe, Australia","[75][76][77]"
" Nintendo Direct Mini","Nintendo 3DS games","April 1, 2013","Japan","[78]"
" Nintendo Direct","Tomodachi Collection: New Life","April 3, 2013","Japan","[79]"
" Nintendo Direct","Year of Luigi and Nintendo 3DS games","April 17, 2013","Japan, North America, Europe, Australia","[80][81][82]"
"  Nintendo Direct[i]","Wii U and Nintendo 3DS games","May 17, 2013","Japan, North America, Europe, Australia","[83][84][85]"
"  Nintendo Direct","Monster Hunter 4Phoenix Wright: Ace Attorney Dual Destinies","May 27, 2013","Japan","[86]"
" Nintendo Direct @ E3 2013","Wii U and Nintendo 3DS games","June 11, 2013","Japan, North America, Europe, Australia, South Korea","[87][88][89]"
" Nintendo Direct","Pikmin 3","June 26, 2013","Japan","[90]"
" Nintendo Direct Mini","Nintendo 3DS and Wii U games","July 3, 2013","Japan","[91]"
" Nintendo Direct Mini","Nintendo 3DS and Wii U games","July 18, 2013","North America, Europe, Australia","[92]"
" Nintendo Direct","Wii U and Nintendo 3DS games","August 7, 2013","Japan, North America, Europe, Australia","[93][94][95]"
" Nintendo Direct","The Wonderful 101","August 9, 2013","Japan, North America, Europe, Australia","[96][97][98]"
" Pok̩mon Direct","Pok̩mon X and Y","September 4, 2013","Japan, North America, Europe, Australia","[99][100][101]"
" Nintendo Direct","Monster Hunter 4","September 8, 2013","Japan","[102]"
" Nintendo Direct","Wii Fit U","September 18, 2013","Japan, North America, Europe, Australia","[103][104][105]"
" Nintendo Direct","Wii U and Nintendo 3DS games","October 1, 2013","Japan, North America, Europe, Australia","[106][107][108]"
" Nintendo Direct","Pok̩mon X and YMonster Hunter 4","October 10, 2013","South Korea","[109]"
" Nintendo Direct Mini","Daigasso! Band Brothers P","October 29, 2013","Japan","[110]"
" Nintendo Direct","Monster Hunter 4","November 12, 2013","South Korea","[111]"
" Nintendo Direct","Nintendo 3DS and Wii U games","November 13, 2013","North America, Europe, Australia","[112][113]"
" Nintendo Direct Mini","Nintendo 3DS and Wii U Download software","November 14, 2013","Japan","[114]"
" Nintendo Direct","Nintendo 3DS Guide: Louvre District","November 27, 2013","Japan, North America, Europe, Australia","[115][116][117]"
" Nintendo Direct","Wii U and Nintendo 3DS games","December 18, 2013","Japan, North America, Europe, Australia","[118][119][120]"
" Nintendo Direct","Nintendo 3DS games","January 17, 2014","South Korea","[121]"
" Nintendo Direct","Wii U and Nintendo 3DS games","February 13, 2014","Japan, North America, Europe, Australia","[122][123][124]"
" Super Smash Bros. Direct","Super Smash Bros. for Nintendo 3DS and Wii U","April 8, 2014","Japan, North America, Europe, Australia","[125][126][127]"
" Nintendo Direct","Tomodachi Life","April 10, 2014","North America, Europe, Australia","[128][129]"
" Nintendo Direct","Mario Kart 8","April 30, 2014","Japan, North America, Europe, Australia","[130][131][132]"
" Nintendo Direct","Tomodachi Life","May 29, 2014","South Korea","[133]"
" Nintendo Digital Event @ E3 2014","Wii U and Nintendo 3DS games","June 10, 2014","Japan, North America, Europe, Australia, South Korea","[134]"
" Nintendo Direct","Yo-kai Watch 2","July 4, 2014","Japan","[135]"
" Nintendo 3DS Direct","Nintendo 3DS games","July 11, 2014","Japan","[136]"
" Nintendo Direct","Hyrule Warriors","August 4, 2014","Japan, North America, Europe, Australia","[137][138][139]"
" Nintendo 3DS Direct","Nintendo 3DS games","August 29, 2014","Japan","[140]"
" Nintendo Direct","Bayonetta 2","September 4, 2014","Japan, North America, Europe, Australia","[141][142][143]"
" Nintendo 3DS Direct","Nintendo 3DS games","September 24, 2014","Australia","[144]"
" Nintendo Direct","Monster Hunter 4G","October 8, 2014","Japan","[145]"
" Super Smash Bros. for Wii U 50-Fact Extravaganza","Super Smash Bros. for Wii U","October 23, 2014","Japan, North America, Europe, Australia","[146][147][148][149]"
"Nintendo Direct","Wii U and Nintendo 3DS games","November 5, 2014","Japan, North America, Europe, Australia","[150][151][152][153]"
" Nintendo Direct","New Nintendo 3DS revealWii U and Nintendo 3DS games","January 14, 2015","Japan, North America, Europe, Australia","[154][155][156][157]"
" Nintendo Direct","Xenoblade Chronicles X","February 6, 2015","Japan","[158]"
" Nintendo Direct","New Nintendo 3DS reveal and 3DS games","March 19, 2015","South Korea","[159]"
" Nintendo Direct","Wii U and Nintendo 3DS games","April 1, 2015","Japan, North America, Europe, Australia","[160][161][162]"
" Nintendo Direct","Xenoblade Chronicles X","April 24, 2015","North America","[163]"
" Nintendo Direct","Splatoon","May 7, 2015","Japan, North America, Europe, Australia","[164][165][166]"
" Nintendo Direct","Wii U and Nintendo 3DS games","May 31, 2015","Japan","[167]"
